A,x02220,1 
A#,x13331,1 
A#4,xx3341,1 
A#7,xx1112,3 
A#dim,xx2323,1 
A#m,x13321,1 
A#m7,x13121,1 
A#maj7,x1323x,1 
A+,x03221,1 
A/D,xx0022,1 
A/F#,202220,1 
A/G#,402220,1 
A11,x42433,1 
A13,x01231,5 
A4,002200,1 
A6,xx2222,1 
A7,x02020,1 
A7(9+),203023,1 
A7+,xx3221,1 
A7sus4,002030,1 
A9,x02100,1 
Ab,133211,4 
Ab+,xx2110,1 
Ab11,131311,4 
Ab4,xx1124,1 
Ab7,xx1112,1 
Abdim,xx0101,1 
Abm,133111,4 
Abm7,xx1111,4 
Abmaj7,xx1113,1 
Adim,xx1212,1 
Am,x02210,1 
Am(7#),x03213,1 
Am(add9),022210,1 
Am/G,302210,1 
Am6,x02212,1 
Am7,x02213,1 
Am7sus4,000030,1 
Am9,x01113,5 
Amaj7,x02120,1 
Asus,xx2230,1 
B,x24442,1 
B(addE),x24400,1 
B+,xx1004,1 
B/F#,022200,2 
B11,133200,7 
B11/13,004444,1 
B13,x21204,1 
B4,xx3341,2 
B7,021202,1 
B7#9,x2123x,1 
B7+,x21203,1 
B9,131213,7 
BaddE/F#,224442,1 
Bb+,xx0332,1 
Bb11,131341,6 
Bb6,xx3333,1 
Bb9,131213,6 
Bbm9,xxx113,6 
Bm,x24432,1 
Bm(maj7),x20332,1 
Bm6,xx4434,1 
Bm7,x13121,2 
Bm7b5,124231,1 
Bmaj,x2434x,1 
Bmsus9,x34402,1 
C,x32010,1 
C#,xx3121,1 
C#(add9),x13311,4 
C#4,xx3341,4 
C#7,xx3424,1 
C#m,xx2120,1 
C#m7,xx2424,1 
C#maj,x43111,1 
C(add9),x32030,1 
C/B,x22010,1 
C11,x13141,3 
C4,xx3013,1 
C7,032310,1 
C9,131213,8 
C9(11),113131,3 
Cadd2/B,x20010,1 
Cm,x13321,3 
Cm11,x1314x,3 
Cm7,x13121,3 
Cmaj,032010,1 
Cmaj7,x32000,1 
Csus2,x3001x,1 
Csus9,xx4124,7 
D,xx0232,1 
D#,xx3121,3 
D#4,xx1344,1 
D#7,xx1323,1 
D#m,xx4342,1 
D#m7,xx1322,1 
D#maj7,xx1333,1 
D(add9),000232,1 
D/A,x04232,1 
D/B,x20232,1 
D/C,x30232,1 
D/C#,x40232,1 
D/E,x1111x,7 
D/G,3x0232,1 
D11,300210,1 
D4,xx0233,1 
D5/E,0111xx,7 
D6,x00202,1 
D7,xx0212,1 
D7#9,x21233,4 
D7sus2,x00210,1 
D7sus4,x00213,1 
D9,011112,7 
D9add6,020212,1 
Dm,xx0231,1 
Dm#7,xx0221,1 
Dm/A,x00231,1 
Dm/B,x20231,1 
Dm/C,x30231,1 
Dm/C#,x40231,1 
Dm7,xx0211,1 
Dm9,xx3210,1 
Dmaj7,xx0222,1 
Dsus2,000230,1 
E,022100,1 
E11,111122,1 
E5,0133xx,7 
E6,xx3333,9 
E7,022130,1 
E7#9,022133,1 
E7(5b),010132,1 
E7(b9),020132,1 
E9,131213,1 
Eb(add9),x11341,1 
Em,022000,1 
Em(add9),024000,1 
Em(sus4),002000,1 
Em/B,x22000,1 
Em/D,xx0000,1 
Em6,022020,1 
Em7,022030,1 
Emaj7,02110x,1 
Esus,022200,1 
Esus4,022200,0 
F,133211,1 
F#,244322,1 
F#+,xx4332,1 
F#/E,044322,1 
F#11,242422,1 
F#4,xx4422,1 
F#7,xx4320,1 
F#9,x12122,1 
F#m,244222,1 
F#m6,xx1222,1 
F#m7-5,102333,2 
F#maj,244322,0 
F#maj7,xx4321,1 
F(add9),303211,1 
F/A,x03211,1 
F/C,xx3211,1 
F/G,333211,1 
F11,131311,1 
F4,xx3311,1 
F6,x3323x,1 
F7,131211,1 
F7/A,x01211,1 
F9,242324,1 
FaddG,1x3213,1 
Fm,133111,1 
Fm6,xx0111,1 
Fm7,131111,1 
Fmaj7,x33210,1 
Fmaj7(+5),003220,1 
Fmaj7/A,x03210,1 
Fmmaj7,x33110,1 
G,320003,1 
G#m6,xx1101,1 
G(add9),13x213,3 
G/A,300003,1 
G/B,x20003,1 
G/D,x22100,4 
G/F#,220003,1 
G11,3x0211,1 
G4,xx0013,1 
G6,3x0000,1 
G6(sus4),020010,1 
G7,320001,1 
G7#9,13x244,3 
G7(sus4),330011,1 
G9,3x0201,1 
G9(11),120001,1 
Gm,133111,3 
Gm/Bb,3221xx,4 
Gm6,xx2333,1 
Gm7,131111,3 
Gmaj7,xx4321,2 
Gmaj7sus4,330012,1 
Gmaj9,114121,2 
Gsus4,xx0011,1 
A,x02220,1
Am,x02210,1
C,x32010,1
D,xx0232,1
D7,xx0212,1
E,022100,1
E7,020100,1
Em,022000,1
G,320003,1
G7,320001,1
